freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
3.90043,1.17527,1.79909,9.86522
3.92481,0.948802,2.05701,10.0555
3.94918,1.11856,2.37963,11.0111
3.97356,0.832478,2.1107,6.83041
3.99794,0.889674,2.86673,10.1561
4.02232,1.2562,2.53992,13.0999
4.0467,1.27782,2.26677,8.86575
4.07107,1.4663,2.47988,6.98289
4.09545,1.1137,2.49159,7.50649
4.11983,0.442192,2.70746,5.14628
4.14421,0.710368,2.88682,9.93029
4.16858,0.702723,3.02637,10.1059
4.19296,1.17111,4.57631,14.1404
4.21734,0.728032,1.49502,6.50166
4.24172,0.898996,1.04212,3.656
4.26609,0.478474,1.51069,1.5815
4.29047,0.673196,1.18766,2.61828
4.31485,0.374817,1.24565,3.00442
4.33923,0.398908,0.398049,1.65115
4.36361,0.326223,0.490883,1.22345
4.38798,0.423354,0.339478,0.850168
4.41236,0.437258,0.36242,1.02838
4.43674,0.359196,0.355264,1.43624
4.46112,0.299869,0.216247,0.619231
4.48549,0.10162,0.21177,0.41085
4.50987,0.144806,0.264999,0.659564
4.53425,0.126267,0.109105,0.446288
4.55863,0.187742,0.0613742,0.540356
4.583,0.198233,0.174883,0.582854
4.60738,0.123365,0.185856,0.507925
4.63176,0.124214,0.141987,0.491656
4.65614,0.201513,0.0993266,0.328144
4.68051,0.103323,0.103932,0.271394
4.70489,0.0610658,0.0810207,0.223978
4.72927,0.0935409,0.0753297,0.354481
4.75365,0.13044,0.0837107,0.447801
4.77803,0.142339,0.0463131,0.418383
4.8024,0.155484,0.045352,0.229997
4.82678,0.147366,0.0815631,0.271336
4.85116,0.125307,0.0819077,0.203533
4.87554,0.269023,0.143988,0.352964
4.89991,0.146611,0.134526,0.350463
4.92429,0.148105,0.127601,0.383503
4.94867,0.14763,0.120643,0.237255
4.97305,0.198093,0.184663,0.193795
4.99742,0.13515,0.109458,0.347641
5.0218,0.128519,0.0829594,0.262777
5.04618,0.182233,0.145834,0.0994906
5.07056,0.197518,0.172494,0.180345
5.09494,0.165437,0.106161,0.318232
5.11931,0.185882,0.167975,0.310214
5.14369,0.263517,0.247577,0.615888
5.16807,0.320215,0.249048,0.460632
5.19245,0.426726,0.280815,0.484013
5.21682,0.408778,0.301292,0.544683
5.2412,0.395889,0.337443,0.440575
5.26558,0.34882,0.205066,0.868087
5.28996,0.2919,0.173226,0.934578
5.31433,0.252544,0.112809,2.06849
