time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
1.25249,8.57703,-3.47187,-2.72354
1.26251,8.54262,-3.45871,-2.71127
1.27253,8.54067,-3.44913,-2.73102
1.28255,8.50431,-3.44255,-2.75062
1.29257,8.50641,-3.41696,-2.76873
1.30259,8.53768,-3.40977,-2.78594
1.31261,8.49234,-3.41396,-2.822
1.32263,8.48172,-3.39272,-2.83352
1.33265,8.47947,-3.38808,-2.82365
1.34267,8.48516,-3.37461,-2.85791
1.35269,8.45074,-3.32373,-2.89817
1.36271,8.47543,-3.28797,-2.87482
1.37273,8.49159,-3.26702,-2.87452
1.38275,8.54157,-3.21555,-2.92181
1.39277,8.57479,-3.21166,-2.9456
1.40279,8.6306,-3.23365,-2.97074
1.41281,8.64886,-3.21435,-2.9462
1.42283,8.66352,-3.19669,-2.98496
1.43285,8.69001,-3.15569,-2.99214
1.44287,8.69001,-3.15569,-2.99214
1.45289,8.72233,-3.14851,-2.9685
1.46291,8.72562,-3.15045,-2.95712
1.47293,8.74822,-3.13744,-2.93707
1.48295,8.76887,-3.14222,-2.93692
1.49297,8.79505,-3.13609,-2.93917
1.50299,8.81945,-3.13459,-2.9477
1.51301,8.83665,-3.13489,-2.93737
1.52303,8.88918,-3.15001,-2.95174
1.53305,8.87601,-3.11709,-2.95772
1.54307,8.90549,-3.12157,-2.9263
1.55309,8.91536,-3.12098,-2.90804
1.56311,8.89546,-3.12262,-2.91074
1.57313,8.88918,-3.10646,-2.8856
1.58315,8.88499,-3.08282,-2.87901
1.59317,8.88499,-3.08282,-2.87901
1.60319,8.87571,-3.07623,-2.83846
1.61321,8.86344,-3.06681,-2.83711
1.62323,8.90609,-3.11873,-2.82873
1.63325,8.90609,-3.11873,-2.82873
1.64327,8.89636,-3.12023,-2.79207
1.65329,8.90414,-3.12756,-2.8033
1.66331,8.91387,-3.13654,-2.77502
1.67333,8.8778,-3.12906,-2.77277
1.68335,8.84503,-3.12352,-2.7626
1.69337,8.88933,-3.14148,-2.73596
1.70339,8.88933,-3.14148,-2.73596
1.71341,8.92703,-3.1741,-2.77531
1.72343,8.93676,-3.17589,-2.79088
1.73345,8.93676,-3.15824,-2.79148
1.74347,8.90773,-3.14656,-2.7831
1.75349,8.87945,-3.11439,-2.78145
1.76351,8.84204,-3.12906,-2.79552
1.77353,8.84204,-3.12906,-2.79552
1.78355,8.76318,-3.13295,-2.8012
1.79357,8.76318,-3.13295,-2.8012
1.80359,8.75435,-3.11843,-2.8208
1.81361,8.71994,-3.10062,-2.85806
1.82363,8.69764,-3.10766,-2.85866
1.83365,8.73475,-3.15225,-2.85118
1.84367,8.78802,-3.21151,-2.89293
1.85369,8.76303,-3.21525,-2.9049
1.86371,8.76303,-3.21525,-2.9049
1.87373,8.73909,-3.22048,-2.83098
1.88375,8.72577,-3.20582,-2.83951
1.89377,8.69031,-3.18487,-2.80823
1.90379,8.6526,-3.18322,-2.8015
1.91381,8.6116,-3.15719,-2.79462
1.92383,8.6116,-3.15719,-2.79462
1.93385,8.59245,-3.14716,-2.80883
1.94387,8.59245,-3.14716,-2.80883
1.95389,8.61953,-3.13729,-2.7816
1.96391,8.67968,-3.19819,-2.80883
1.97393,8.74702,-3.22991,-2.87003
1.98395,8.78488,-3.24158,-2.83337
1.99397,8.80089,-3.24054,-2.80509
2.00399,8.83546,-3.25685,-2.77292
2.01401,8.84324,-3.26178,-2.74688
2.02403,8.84758,-3.23889,-2.75451
2.03405,8.81915,-3.24951,-2.75422
2.04407,8.81915,-3.24951,-2.75422
2.05409,8.7964,-3.24877,-2.71426
2.06411,8.73475,-3.23096,-2.70648
2.07413,8.73475,-3.23096,-2.70648
2.08415,8.72413,-3.19145,-2.77352
2.09417,8.73924,-3.17889,-2.75826
2.10419,8.73924,-3.17889,-2.75826
2.11421,8.74463,-3.14207,-2.77995
2.12423,8.76184,-3.13938,-2.76349
2.13425,8.7557,-3.12606,-2.75496
2.14427,8.7557,-3.12606,-2.75496
2.15429,8.78563,-3.14701,-2.74703
2.16431,8.83755,-3.16557,-2.72638
2.17433,8.86149,-3.22183,-2.70065
2.18435,8.85985,-3.21106,-2.65725
2.19437,8.85985,-3.21106,-2.65725
2.20439,8.82783,-3.23889,-2.66204
2.21441,8.82783,-3.23889,-2.66204
2.22443,8.85177,-3.22318,-2.66892
2.23445,8.81062,-3.15569,-2.66024
2.24447,8.8398,-3.16946,-2.66997
2.25449,8.77051,-3.11379,-2.72025
2.26451,8.78443,-3.0505,-2.69825
2.27453,8.81361,-3.07848,-2.71965
2.28455,8.81361,-3.07848,-2.71965
2.29457,8.85102,-3.02012,-2.75407
2.30459,8.88933,-3.03224,-2.76783
2.31461,8.88933,-3.03224,-2.76783
2.32463,8.89666,-3.04466,-2.76379
2.33465,8.93751,-3.03613,-2.79162
2.34467,8.8811,-3.0472,-2.72474
2.35469,8.86523,-3.03763,-2.721
2.36471,8.86523,-3.03763,-2.721
2.37473,8.80403,-3.02955,-2.68897
2.38475,8.77066,-3.02087,-2.67416
2.39477,8.7373,-3.01892,-2.62373
2.40479,8.76019,-3.04601,-2.63944
2.41481,8.74867,-3.04272,-2.68972
2.42483,8.76109,-3.00127,-2.6773
2.43485,8.7337,-2.94186,-2.65067
2.44487,8.73804,-2.87931,-2.6155
2.45489,8.77575,-2.85298,-2.60383
2.46491,8.77575,-2.85298,-2.60383
2.47493,8.94724,-2.87946,-2.56717
2.48495,9.03747,-2.9471,-2.57884
2.49497,9.10151,-3.0291,-2.56029
2.50499,9.09702,-3.11574,-2.4925
2.51501,9.05587,-3.15494,-2.48921
2.52503,9.0641,-3.23739,-2.39763
2.53505,9.02475,-3.32029,-2.35229
2.54507,9.04674,-3.38344,-2.31533
2.55509,9.07248,-3.48429,-2.27328
2.56511,9.07248,-3.48429,-2.27328
2.57513,8.9824,-3.49282,-2.25757
2.58515,8.86703,-3.49028,-2.2046
2.59517,8.82169,-3.43596,-2.15971
2.60519,8.79939,-3.36638,-2.16704
2.61521,8.74148,-3.31251,-2.17288
2.62523,8.73804,-3.23949,-2.20146
2.63525,8.76213,-3.16572,-2.22435
2.64527,8.7141,-3.0493,-2.21328
2.65529,8.71769,-2.98765,-2.24485
2.66531,8.73251,-2.96221,-2.26879
2.67533,8.73251,-2.96221,-2.26879
2.68535,8.84877,-2.94051,-2.28705
2.69537,8.95576,-2.95039,-2.36067
2.70539,9.06201,-2.98002,-2.3906
2.71541,9.16122,-3.00935,-2.42038
2.72543,9.21105,-3.03104,-2.44327
2.73545,9.21524,-2.97927,-2.43295
2.74547,9.2284,-2.91029,-2.45
2.75549,9.18875,-2.83337,-2.46093
2.76551,9.18875,-2.83337,-2.46093
2.77553,9.2311,-2.79581,-2.48098
2.78555,9.21898,-2.78369,-2.52108
2.79557,9.23963,-2.80135,-2.49684
2.80559,9.25205,-2.78878,-2.49864
2.81561,9.25205,-2.78878,-2.49864
2.82563,9.23948,-2.79342,-2.51554
2.83565,9.22391,-2.73147,-2.55011
2.84567,9.22391,-2.73147,-2.55011
2.85569,9.19144,-2.71441,-2.52602
2.86571,9.15463,-2.69885,-2.50582
2.87573,9.12246,-2.69975,-2.46212
2.88575,9.05916,-2.74898,-2.38805
2.89577,9.05916,-2.74898,-2.38805
2.90579,9.05004,-2.81856,-2.40362
2.91581,9.05168,-2.86255,-2.42891
2.92583,9.01158,-2.89951,-2.34077
2.93585,8.99632,-2.89772,-2.33
2.94587,8.961,-2.90116,-2.31249
2.95589,8.98405,-2.88709,-2.27822
2.96591,8.97402,-2.89697,-2.25009
2.97593,8.99826,-2.90026,-2.26191
2.98595,9.03462,-2.90924,-2.24156
2.99597,9.05557,-2.92869,-2.25458
3.00599,9.05138,-2.92914,-2.19427
3.01601,9.08101,-2.93124,-2.19023
3.02603,9.08445,-2.96775,-2.20819
3.03605,9.08969,-2.96221,-2.18365
3.04607,9.08819,-2.99633,-2.11631
3.05609,9.09972,-3.03793,-2.11003
3.06611,9.09912,-3.06037,-2.1006
3.07613,9.11677,-3.0918,-2.07142
3.08615,9.1247,-3.14237,-2.05062
3.09617,9.13548,-3.18756,-2.02369
3.10619,9.09732,-3.22108,-1.96144
3.11621,9.08266,-3.257,-1.95052
3.12623,9.0867,-3.30219,-1.96518
3.13625,9.06021,-3.32508,-1.99017
3.14627,9.00754,-3.31356,-1.98164
3.15629,8.97627,-3.34214,-2.00633
3.16631,8.94978,-3.36054,-2.02249
3.17633,8.93137,-3.37955,-2.04763
3.18635,8.8389,-3.41546,-2.06858
