time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.135272,-0.200064,9.90865
0.0100724,-0.308701,-0.275481,9.82381
0.0201448,-0.462378,-0.408808,9.78386
0.0302172,-0.570715,-0.448462,9.75123
0.0402895,-0.721848,-0.30062,9.70335
0.0503619,-0.74579,-0.214579,9.85852
0.0604343,-0.650471,-0.0906799,9.82082
0.0705067,-0.699552,0.122104,9.66295
0.0805791,-0.740553,0.326807,9.44298
0.0906515,-0.79113,0.58508,9.40393
0.100724,-0.824798,0.828539,9.57287
0.110796,-0.804298,1.03624,9.56404
0.120869,-0.656008,1.17106,9.36577
0.130941,-0.461181,1.22627,9.07024
0.141013,-0.588522,1.24154,9.07248
0.151086,-0.70464,1.19126,9.28631
0.161158,-0.893332,1.10432,9.31833
0.171231,-0.99314,1.04042,9.44822
0.181303,-1.01169,0.928497,9.46872
0.191375,-1.03968,0.749381,9.2498
0.201448,-1.40329,0.824499,9.27359
0.21152,-1.53258,0.84036,9.5374
0.221593,-1.34748,0.800856,9.61357
0.231665,-1.18557,0.806842,9.73477
0.241737,-1.03818,0.892434,9.61207
0.25181,-1.0111,0.879416,9.6206
0.261882,-1.27371,0.815371,9.74106
0.271954,-1.07484,0.772276,9.4768
0.282027,-0.9888,0.818663,8.97971
0.292099,-1.07185,0.944208,9.04734
0.302172,-1.01065,1.19365,9.44642
0.312244,-0.987005,1.51058,9.67806
0.322316,-0.817316,1.73175,9.52872
0.332389,-0.493502,1.83096,9.26013
0.342461,-0.202159,1.83784,9.18007
0.352534,-0.0963661,1.86253,9.09672
0.362606,-0.0562635,1.8356,9.13892
0.372678,-0.0881361,1.79819,9.14281
0.382751,-0.195875,1.82677,9.14072
0.392823,-0.363468,1.93735,9.36951
0.402895,-0.445768,1.94977,9.50284
0.412968,-0.519988,1.95067,9.35066
0.42304,-0.60169,1.95695,9.48129
0.433113,-0.677705,1.94648,9.79463
0.443185,-0.722447,1.69778,9.76455
0.453257,-0.645833,1.75883,9.73777
0.46333,-0.631916,1.9384,9.59501
0.473402,-0.756714,1.95381,9.48114
0.483475,-0.606179,2.0186,9.65143
0.493547,0.0583584,1.88662,9.5395
0.503619,1.21296,1.59363,9.31759
0.513692,-0.0891836,1.77335,10.2325
0.523764,-1.5037,1.04806,11.6651
0.533836,-2.24575,0.758509,10.6075
0.543909,-1.02935,1.8543,7.90816
0.553981,0.32142,2.77935,8.51957
0.564054,0.665435,2.49594,9.44343
0.574126,0.347756,2.3294,9.76665
0.584198,0.183904,2.81557,8.47573
0.594271,-0.0410005,3.74571,7.66051
0.604343,-0.174177,4.09571,7.71109
0.614416,-0.158615,3.86183,8.22269
0.624488,0.0380078,3.0921,9.27539
0.63456,-0.233733,2.5344,9.81453
0.644633,-0.556051,2.1847,9.84865
0.654705,-0.565627,1.92672,9.70754
0.664778,-0.547072,1.98987,9.55551
0.67485,-0.721698,2.31039,9.66639
0.684922,-0.885102,2.36067,9.82276
0.694995,-1.04192,2.26056,9.47904
0.705067,-1.02411,2.02788,9.60698
0.715139,-0.9891,1.92209,9.7038
0.725212,-0.994636,1.9574,9.56389
0.735284,-1.04267,1.8944,9.79104
0.745357,-1.07739,1.84278,9.96955
0.755429,-1.22642,1.87779,9.69497
0.765501,-1.47497,1.88602,9.58035
0.775574,-1.62401,1.82946,9.53426
0.785646,-1.48335,1.7102,9.07518
0.795719,-0.978326,1.63912,9.72625
0.805791,-1.47991,1.30917,9.13084
0.815863,-1.5444,0.965607,10.1202
0.825936,-1.71439,1.10507,10.2251
0.836008,-1.82961,1.11869,9.9489
0.84608,-0.794272,1.24917,9.89548
0.856153,-1.2984,1.1733,9.81124
0.866225,-2.26266,0.705987,9.75258
0.876298,-2.13726,1.14158,9.85344
0.88637,-1.33237,2.22435,9.6001
0.896442,-0.893631,1.82108,9.60953
0.906515,-0.911588,1.54754,9.87828
0.916587,-0.582087,1.71349,9.9112
0.92666,-0.598398,1.42035,9.52154
0.936732,-1.26817,1.47003,9.72101
0.946804,-1.33461,1.59618,9.58319
0.956877,-1.48485,1.71993,9.61312
0.966949,-1.53722,1.82961,9.60519
0.977021,-1.53288,1.96473,9.40797
0.987094,-1.96518,2.02728,9.71113
0.997166,-1.99331,1.93944,9.82067
1.00724,-1.42798,1.79519,9.97928
1.01731,-1.48006,1.81405,10.0611
1.02738,-1.36484,1.71948,9.85613
1.03746,-1.60067,1.66546,9.73971
1.04753,-1.93944,1.72995,9.5597
