time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
1.54874,-3.83774,4.23607,7.93958
1.55907,-3.82591,4.23382,7.92596
1.56939,-3.81858,4.23412,7.95125
1.57972,-3.82427,4.24086,7.96023
1.59004,-3.83115,4.22335,7.95634
1.60037,-3.82322,4.21258,7.95963
1.61069,-3.81335,4.19836,7.95859
1.62102,-3.85854,4.20599,7.99315
1.63134,-3.83025,4.23592,7.9933
1.64167,-3.82307,4.24191,8.0129
1.65199,-3.84342,4.22485,8.00018
1.66232,-3.80945,4.22649,8.00303
1.67264,-3.8334,4.20928,8.03685
1.68297,-3.81409,4.22559,8.0138
1.69329,-3.80242,4.19642,8.01245
1.70362,-3.7888,4.17861,8.00602
1.71394,-3.81694,4.21766,8.02802
1.72427,-3.79075,4.22934,8.01111
1.73459,-3.8304,4.24699,8.01485
1.74492,-3.82921,4.23338,7.99076
1.75524,-3.77923,4.18998,8.02487
1.76557,-3.78821,4.19671,8.02832
1.77589,-3.72401,4.21931,8.0545
1.78622,-3.73389,4.17771,8.07081
1.79654,-3.74272,4.18983,8.0367
1.80687,-3.7909,4.19866,8.08967
1.81719,-3.76292,4.21392,8.0946
1.82752,-3.77609,4.20913,8.13276
1.83784,-3.76367,4.19941,8.12393
1.84817,-3.75244,4.26121,8.10373
1.85849,-3.74945,4.29562,8.0756
1.86882,-3.75035,4.30849,8.05151
1.87914,-3.77369,4.29353,8.03295
1.88947,-3.78866,4.2871,8.01201
1.89979,-3.81125,4.25612,7.99091
1.91012,-3.74361,4.23487,7.9098
1.92044,-3.69498,4.28291,7.98971
1.93077,-3.66924,4.32899,7.93105
1.94109,-3.65623,4.28365,7.92896
1.95142,-3.68346,4.27961,7.9095
1.96174,-3.69663,4.15676,7.90247
1.97207,-3.64605,4.08957,7.85249
1.98239,-3.71758,4.21168,7.77842
1.99272,-3.73284,3.99037,7.84336
2.00304,-3.7692,3.98094,7.79398
2.01337,-4.52472,4.81097,7.64584
2.02369,-4.4086,3.89774,8.1597
2.03402,-4.52846,4.42102,8.36365
2.04434,-4.43598,4.43688,8.31637
2.05467,-4.30116,4.13821,8.28629
2.06499,-4.20659,4.07416,8.157
2.07532,-4.14913,4.10723,7.88122
2.08564,-4.06459,4.01161,7.68714
2.09597,-3.90028,4.01191,7.55995
2.10629,-3.81649,4.36416,7.31156
2.11662,-3.73523,3.84178,7.81688
2.12694,-3.72506,3.9368,7.60724
2.13727,-3.79898,4.27213,7.21115
2.14759,-4.02344,4.35039,7.25155
2.15792,-4.12698,4.05366,7.50159
2.16824,-4.23951,4.37778,7.60978
2.17857,-4.33663,4.40426,7.79683
2.18889,-4.38241,4.26959,8.01784
2.19922,-4.4285,4.25822,8.10598
2.20954,-4.45858,4.29518,8.09999
2.21987,-4.43284,4.25088,8.05645
2.23019,-4.42566,4.17966,7.93868
2.24052,-4.35234,4.09496,7.79967
2.25084,-4.29009,3.96597,7.74849
2.26117,-4.23667,3.96568,7.73473
2.27149,-4.21422,3.97091,7.7063
2.28182,-4.15108,4.01491,7.71587
2.29214,-4.11875,4.06683,7.80805
2.30247,-4.05157,4.1005,7.92462
2.31279,-4.00683,4.25268,7.88437
2.32312,-4.00727,4.18459,7.99405
2.33344,-3.9573,4.22919,7.94976
2.34377,-3.96657,4.22455,7.94572
2.35409,-3.90477,4.22305,7.96427
2.36442,-3.90522,4.25612,8.00273
2.37474,-3.90986,4.2654,8.03834
2.38507,-3.88352,4.26749,8.07695
2.39539,-3.8545,4.24969,8.06752
2.40572,-3.85135,4.22574,8.09535
2.41604,-3.8726,4.17487,8.07725
2.42637,-3.91884,4.15182,8.04103
2.43669,-3.94398,4.13417,8.03759
2.44702,-3.95146,4.0993,8.03969
2.45734,-3.96134,4.10603,8.0762
2.46767,-3.96283,4.10005,8.04208
2.47799,-3.93904,4.05785,8.05031
2.48832,-3.91749,4.0785,8.04044
2.49864,-3.91136,4.03346,8.03864
2.50897,-3.89325,4.04798,8.03475
2.51929,-3.90358,4.05261,8.02278
2.52962,-3.89759,4.07237,8.07366
2.53994,-3.88173,4.10364,8.07066
2.55027,-3.84297,4.12175,8.08832
2.56059,-3.81948,4.12998,8.04852
2.57092,-3.80975,4.15586,8.04732
2.58124,-3.80422,4.18459,8.04567
2.59157,-3.84223,4.18684,8.04118
2.60189,-3.84701,4.17801,8.00797
2.61222,-3.87365,4.17307,8.00422
2.62254,-3.91435,4.19537,7.99749
2.63287,-3.94233,4.18744,7.97265
2.64319,-3.99171,4.14569,7.96771
2.65352,-3.99052,4.14255,7.96218
2.66384,-4.00712,4.1204,7.96233
2.67417,-4.03077,4.09287,7.94317
2.68449,-4.04364,4.07536,7.96188
2.69482,-4.0191,4.06623,7.96397
2.70514,-4.00114,4.05516,7.95739
2.71547,-4.01625,4.06474,7.93808
2.72579,-3.97929,4.08748,7.95873
2.73612,-3.96777,4.11202,7.9324
2.74644,-3.93605,4.12025,7.97923
2.75677,-3.90432,4.11696,7.98313
2.76709,-3.88128,4.14045,8.0144
2.77742,-3.87589,4.13072,8.04178
2.78774,-3.88532,4.15781,8.06019
2.79807,-3.89834,4.16709,8.01036
2.80839,-3.87859,4.17427,8.00811
2.81872,-3.87709,4.16454,7.98746
2.82904,-3.86123,4.12683,7.97938
2.83937,-3.88727,4.09586,7.96352
2.84969,-3.90028,4.09077,7.99929
2.86001,-3.94757,4.10993,8.01739
2.87034,-3.9962,4.0999,8.03026
2.88066,-4.0384,4.10065,8.06004
2.89099,-4.0363,4.10963,8.04867
2.90131,-4.02613,4.10484,8.04926
2.91164,-3.99381,4.13462,8.01859
2.92196,-3.97301,4.14988,7.96517
2.93229,-3.94622,4.15123,7.92267
2.94261,-3.92348,4.15392,7.8691
2.95294,-3.93395,4.1406,7.84411
2.96326,-3.91854,4.10424,7.84381
2.97359,-3.90986,4.10948,7.87254
2.98391,-3.92707,4.10753,7.8917
2.99424,-3.93695,4.10244,7.92671
3.00456,-3.957,4.10155,7.95784
3.01489,-3.96882,4.09885,8.00991
3.02521,-3.96403,4.10185,8.01709
3.03554,-3.96927,4.09661,8.02847
3.04586,-3.95999,4.09436,8.04358
3.05619,-3.96253,4.11112,8.0741
3.06651,-3.94697,4.11441,8.06049
3.07684,-3.93575,4.12998,8.04762
3.08716,-3.90313,4.13297,8.0355
3.09749,-3.90822,4.14255,8.05301
3.10781,-3.88278,4.12519,8.05061
3.11814,-3.88487,4.14599,8.0542
3.12846,-3.89131,4.15497,8.00976
3.13879,-3.86273,4.14629,8.01664
3.14911,-3.88128,4.13312,7.99569
3.15944,-3.88457,4.13447,7.99629
3.16976,-3.89026,4.11756,7.99719
3.18009,-3.92886,4.12175,7.98732
3.19041,-3.92842,4.1222,7.96008
3.20074,-3.92901,4.12459,7.93794
3.21106,-3.97166,4.10708,7.94392
3.22139,-3.9754,4.10289,7.91938
3.23171,-3.98782,4.12324,7.90023
3.24204,-4.01012,4.0782,7.92357
3.25236,-3.98378,4.09661,7.96008
3.26269,-3.98034,4.10095,8.00737
3.27301,-3.98797,4.09152,8.04687
3.28334,-3.97271,4.10035,8.02158
3.29366,-3.9347,4.10933,8.01709
3.30399,-3.95565,4.08509,8.00916
3.31431,-3.92797,4.11486,7.99899
3.32464,-3.91869,4.13237,7.99884
3.33496,-3.87305,4.1608,8.01096
3.34529,-3.894,4.17681,7.97684
3.35561,-3.86841,4.18579,7.9532
3.36594,-3.88712,4.17921,7.94602
3.37626,-3.91226,4.18998,7.89828
