time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,10.9723,-4.099,3.27735
0.0100088,10.7014,-4.039,3.07863
0.0200176,10.5624,-4.03256,2.84445
0.0300263,10.7007,-4.0378,2.71112
0.0400351,10.2799,-4.3043,2.43968
0.0500439,9.95773,-4.04304,2.36651
0.0600527,9.73852,-3.77624,2.26086
0.0700614,9.85718,-3.83863,2.13008
0.0800702,9.84655,-4.04932,2.0177
0.090079,9.38058,-3.96777,2.04194
0.100088,8.82423,-3.55896,2.14609
0.110097,8.65889,-3.22991,2.16629
0.120105,8.68881,-3.23814,2.13397
0.130114,8.5091,-3.26792,2.25742
0.140123,8.64931,-3.41097,2.14639
0.150132,8.92329,-3.67463,2.08025
0.16014,8.85117,-3.77923,2.07651
0.170149,8.69285,-3.61807,2.04329
0.180158,8.64811,-3.5211,2.00394
0.190167,8.62716,-3.46738,1.97087
0.200176,8.54995,-3.43491,1.83021
0.210184,8.52107,-3.37551,1.65872
0.220193,8.57464,-3.41561,1.48784
0.230202,8.70273,-3.5223,1.40135
0.240211,8.9601,-3.66835,1.31845
0.250219,9.4569,-3.77758,1.12706
0.260228,9.81782,-3.82711,0.772126
0.270237,9.87274,-3.94817,0.654212
0.280246,9.83309,-3.98243,0.590168
0.290255,9.81573,-3.96837,0.459385
0.300263,9.6221,-3.93739,0.365862
0.310272,9.50703,-3.90642,0.26351
0.320281,9.51885,-3.76786,0.112078
0.33029,9.54848,-3.74032,0.023493
0.340298,9.88291,-3.90642,-0.100257
0.350307,10.1814,-4.10903,-0.367358
0.360316,10.399,-4.25717,-0.470309
0.370325,10.9848,-4.57904,-0.559941
0.380334,11.0405,-4.87966,-0.629073
0.390342,10.3329,-4.89642,-0.462976
0.400351,9.74121,-4.48821,-0.244956
0.41036,9.56628,-4.14584,-0.0249894
0.420369,9.5817,-4.181,0.0158615
0.430377,9.73403,-4.3881,0.0182557
0.440386,9.69362,-4.66762,0.0833477
0.450395,9.57317,-4.83387,-0.0176571
0.460404,9.38403,-4.77267,0.0550664
0.470413,9.34707,-4.59146,-0.0128688
0.480421,9.31983,-4.43703,0.0230441
0.49043,9.02954,-4.4101,0.0926252
0.500439,8.83471,-4.31687,0.0646431
0.510448,8.63135,-4.23951,0.164002
0.520456,8.67205,-4.26719,0.170436
0.530465,8.54771,-4.29667,-0.046986
0.540474,8.44311,-4.40695,-0.153827
0.550483,8.29242,-4.41878,-0.220714
0.560492,8.09071,-4.19327,-0.126144
0.5705,8.09071,-4.19327,-0.126144
0.580509,8.1157,-3.67942,0.0439932
0.590518,8.24559,-3.57857,0.0788586
0.600527,8.42425,-3.68466,0.082001
0.610535,8.50102,-3.75633,0.471057
0.620544,8.73251,-3.76337,0.532408
0.630553,9.01397,-4.00832,0.318427
0.640562,8.94544,-4.16828,0.46986
0.650571,8.84698,-4.08045,0.612912
0.660579,8.70617,-3.98109,0.670373
0.670588,8.61235,-4.04498,0.723344
0.680597,8.51688,-3.84522,0.982515
0.690606,8.50356,-3.68331,1.1121
0.700614,8.48261,-3.96089,0.796367
0.710623,8.42216,-4.2627,0.538693
0.720632,8.49862,-4.45559,0.578047
0.730641,8.76767,-4.58532,0.459984
0.74065,8.99706,-4.80244,0.561737
0.750658,9.15688,-5.16711,0.779458
0.760667,9.35455,-5.29924,1.0509
0.770676,9.28946,-5.26243,1.0307
0.780685,8.98554,-4.93802,0.973986
0.790693,8.35288,-4.32181,0.853828
0.800702,7.88721,-3.83444,0.307953
0.810711,6.95662,-2.81751,1.51612
0.82072,7.1299,-1.98867,1.25366
0.830729,7.76062,-2.33149,0.554255
0.840737,8.41184,-2.91059,0.604982
0.850746,9.42518,-3.29575,0.933285
0.860755,10.1367,-3.39795,1.06407
0.870764,10.4333,-3.28363,1.24393
0.880772,10.471,-3.11394,1.38489
0.890781,10.2223,-2.98765,1.2975
0.90079,10.127,-2.51165,1.28628
0.910799,10.017,-1.91969,1.56894
0.920808,9.97659,-1.60486,1.79459
0.930816,10.1428,-1.40733,2.17093
0.940825,10.368,-1.38549,2.50761
0.950834,10.8211,-1.34015,2.74419
0.960843,11.376,-1.63014,3.01144
0.970851,11.5264,-2.12739,3.16228
0.98086,11.6551,-2.41858,3.25879
0.990869,11.6293,-2.46631,3.46798
1.00088,11.3938,-2.24575,3.79853
1.01089,11.0802,-1.96338,4.04094
1.0209,10.739,-1.69209,4.2253
1.0309,10.5186,-1.49367,4.35563
1.04091,10.3525,-1.34449,4.52442
1.05092,10.1677,-1.19859,4.58996
1.06093,9.95429,-1.06048,4.7372
1.07094,9.46962,-1.1965,3.77414
1.08095,9.20641,-1.62236,3.68092
1.09096,9.1081,-1.87525,6.63819
1.10097,8.63958,-1.91894,9.23648
1.11097,8.44565,-1.78936,7.70106
1.12098,8.20085,-1.86238,6.19676
1.13099,8.43638,-2.21358,7.56998
1.141,9.15299,-2.51569,9.40527
1.15101,9.42847,-2.23034,9.09493
1.16102,9.18232,-1.79729,7.83364
1.17103,8.68836,-1.48111,7.28731
1.18104,8.22883,-1.09459,7.78321
1.19104,7.83319,-0.482429,8.13082
1.20105,7.46433,-0.259919,7.80611
1.21106,6.84813,-0.43694,7.03024
1.22107,6.13107,-0.670223,6.7576
1.23108,5.5415,-0.406264,7.08845
1.24109,4.88849,0.23478,7.12825
1.2511,4.7797,0.207097,6.94779
1.26111,4.63096,-0.211736,6.81566
1.27111,4.35877,-0.311095,6.95213
1.28112,4.01535,-0.439633,6.97637
1.29113,3.46589,-0.72499,7.25335
1.30114,3.0713,-1.09998,7.40089
1.31115,3.20567,-0.811181,7.86476
1.32116,3.28962,-0.722746,7.69597
1.33117,3.55552,-0.797265,7.4389
1.34118,3.55612,-0.754319,7.30677
1.35119,3.27839,-0.79936,7.45491
1.36119,3.20013,-0.719155,7.52539
1.3712,3.37416,-0.541685,7.26562
1.38121,3.2359,-0.455046,7.61996
1.39122,3.18951,-0.323664,7.26232
1.40123,2.8425,-0.240766,7.29614
1.41124,2.89009,-0.0906799,7.04894
1.42125,2.82754,0.0386063,6.89841
1.43126,2.73611,0.0606029,6.86205
1.44126,2.78684,0.153378,6.68757
1.45127,2.89323,0.372147,6.44516
1.46128,2.83248,0.48617,6.21532
1.47129,3.11275,0.487367,6.21846
1.4813,3.31191,0.538842,5.98667
1.49131,3.60266,0.664986,5.77104
1.50132,4.07566,0.527919,5.87878
1.51133,4.68573,0.392946,6.18733
1.52133,5.4191,0.19782,6.3868
1.53134,5.57263,0.427363,6.02917
1.54135,6.03321,0.455046,5.74037
1.55136,6.22504,0.283711,5.78032
1.56137,6.48317,0.245105,5.66181
1.57138,6.91352,0.180612,5.5828
1.58139,7.46643,0.101903,5.27889
1.5914,7.86835,0.21009,4.88475
1.6014,7.99001,0.264708,4.43404
1.61141,7.72919,0.4121,4.017
1.62142,7.46658,0.509214,3.94712
1.63143,7.31634,0.557098,4.37688
1.64144,7.72336,0.800707,4.93906
1.65145,8.12334,0.812678,5.43182
1.66146,8.27237,0.880762,6.14379
1.67147,8.53139,1.30693,7.14651
1.68147,8.97357,1.76063,8.29587
1.69148,9.79628,2.16884,9.64963
1.70149,11.134,2.26236,11.024
1.7115,12.6635,1.88752,12.1348
1.72151,13.7673,1.58795,13.324
1.73152,14.0458,1.45043,14.4899
1.74153,13.2658,1.43352,15.4705
1.75154,11.9898,1.83365,15.8895
1.76154,11.0505,2.50088,15.9142
1.77155,9.53905,2.81721,15.2248
1.78156,8.30933,2.89024,15.0226
1.79157,7.49202,2.89323,14.8868
1.80158,6.656,2.803,14.1959
