time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
1.22206,-9.52768,-6.4085,-1.23106
1.23208,-9.33225,-5.83045,-0.986406
1.2421,-9.15673,-5.37316,-0.777663
1.25211,-8.84848,-4.9051,-0.746987
1.26213,-8.52212,-4.52921,-0.713468
1.27215,-8.1808,-4.21138,-0.600792
1.28216,-7.73727,-3.96747,-0.360625
1.29218,-7.73727,-3.96747,-0.360625
1.3022,-7.52943,-3.98303,-0.279671
1.31221,-7.30437,-4.00817,-0.231339
1.32223,-7.2508,-4.16769,-0.283562
1.33225,-7.18167,-4.53295,-0.393246
1.34227,-7.07034,-4.83626,-0.273387
1.35228,-7.09997,-5.19464,-0.433947
1.3623,-7.23928,-5.44528,-0.237623
1.37232,-7.41211,-5.76596,-0.243908
1.38233,-7.59452,-5.9756,-0.426315
1.39235,-7.69478,-6.02797,-0.690574
1.40237,-8.16119,-6.35672,-0.984311
1.41238,-8.45388,-6.89916,-1.59094
1.4224,-8.41288,-6.64343,-0.569518
1.43242,-8.39822,-6.97098,-0.754619
1.44243,-8.44311,-7.20307,-0.604982
1.45245,-8.38236,-7.25858,-0.120158
1.46247,-8.4672,-7.22147,0.387111
1.47248,-8.50311,-7.07558,0.855923
1.4825,-8.49324,-6.87492,1.27311
1.49252,-8.49743,-6.42196,1.43158
1.50254,-8.40211,-5.92278,1.41541
1.51255,-8.21671,-5.44259,1.32653
1.52257,-7.98836,-5.09005,1.10133
1.53259,-7.8088,-4.99413,0.786641
1.5426,-7.64869,-5.05802,0.600792
1.55262,-7.42693,-5.24372,0.526422
1.56264,-7.33191,-5.50903,0.429458
1.57265,-7.28492,-5.93011,0.418534
1.58267,-7.22237,-6.27712,0.40791
1.59269,-7.22387,-6.62472,0.518192
1.6027,-7.26876,-7.0256,0.517743
1.61272,-7.24257,-7.18436,0.557248
1.62274,-7.22297,-7.17628,0.590168
1.63276,-7.21609,-7.047,0.639697
1.64277,-7.1085,-6.78723,0.598547
1.65279,-7.12062,-6.64537,0.508616
1.66281,-7.23524,-6.51773,0.376636
1.67282,-7.14396,-6.25213,0.442925
1.68284,-7.11493,-6.11566,0.398034
1.69286,-7.04161,-6.19392,0.398932
1.70287,-6.88,-6.20664,0.392946
1.71289,-6.80533,-6.30106,0.296431
1.72291,-6.77196,-6.41658,0.308701
1.73292,-6.66034,-6.43124,0.359727
1.74294,-6.63086,-6.42181,0.39564
1.75296,-6.62786,-6.35418,0.422724
1.76297,-6.58986,-6.29432,0.373494
1.77299,-6.51384,-6.23552,0.382023
1.78301,-6.45982,-6.24988,0.416439
