time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
1.53412,1.71574,3.47442,8.05929
1.54415,1.70302,3.5214,8.12827
1.55418,1.66546,3.58904,8.2215
1.56421,1.7105,3.6034,8.27671
1.57423,1.68506,3.70576,8.31068
1.58426,1.68132,3.84267,8.29691
1.59429,1.70706,3.92303,8.28345
1.60431,1.72666,3.9956,8.22374
1.61434,1.73459,4.06518,8.1582
1.62437,1.71424,4.11995,8.15207
1.63439,1.6475,4.15841,8.23317
1.64442,1.62865,4.181,8.29661
1.65445,1.59393,4.15287,8.39657
1.66448,1.5658,4.14329,8.507
1.6745,1.58675,4.12489,8.62297
1.68453,1.60366,4.0782,8.67355
1.69456,1.57882,4.0387,8.69974
1.70458,1.51642,4.02433,8.71186
1.71461,1.51298,4.00114,8.73685
1.72464,1.47123,3.98528,8.68612
1.73466,1.39162,4.00413,8.68358
1.74469,1.33057,4.07671,8.63494
1.75472,1.23869,4.11397,8.66936
1.76475,1.18916,4.17577,8.61055
1.77477,1.20772,4.20839,8.54486
1.7848,1.11958,4.2428,8.53828
1.79483,1.05898,4.38616,8.56731
1.80485,1.10372,4.4704,8.58856
1.81488,1.18797,4.49793,8.52092
1.82491,1.22463,4.53953,8.49069
1.83493,1.2568,4.65535,8.45777
1.84496,1.29256,4.73481,8.44939
1.85499,1.36768,4.7396,8.39927
1.86501,1.32952,4.78928,8.3445
1.87504,1.30139,4.87143,8.33791
1.88507,1.37576,4.89941,8.29003
1.8951,1.42858,4.89866,8.24065
1.90512,1.47916,4.881,8.16703
1.91515,1.55518,4.84494,8.17421
1.92518,1.63374,4.80753,8.10987
1.9352,1.70586,4.70982,8.05854
1.94523,1.77963,4.58682,8.04148
1.95526,1.88946,4.41503,8.0147
1.96528,2.01606,4.18639,8.097
1.97531,2.09581,3.94532,8.16628
1.98534,2.10075,3.75933,8.34809
1.99537,2.17153,3.57886,8.61609
2.00539,2.13696,3.48175,8.81256
2.01542,2.10285,3.56809,9.12246
2.02545,2.09522,3.63154,9.52274
2.03547,2.32446,3.67912,9.81079
2.0455,2.62553,3.80571,10.1684
2.05553,2.9471,3.81933,10.4686
2.06555,3.17036,3.84671,10.8481
2.07558,3.42803,3.94847,11.1804
2.08561,3.69453,4.07671,11.486
2.09563,3.96822,4.14165,11.7425
2.10566,4.17876,4.09496,11.9009
2.11569,4.34979,4.02957,12.0868
2.12572,4.40022,3.96388,12.2627
2.13574,4.38047,3.77668,12.3403
2.14577,4.28171,3.51796,12.3587
2.1558,4.11426,3.25296,12.2907
2.16582,3.93201,3.01294,12.1261
2.17585,3.69004,2.76245,11.7909
2.18588,3.37177,2.55999,11.3633
2.1959,2.99199,2.51689,10.9361
2.20593,2.64304,2.51674,10.5982
2.21596,2.35828,2.51076,10.2304
2.22599,2.17722,2.45419,9.88501
2.23601,2.04404,2.3264,9.4988
2.24604,1.9553,2.19098,9.05752
2.25607,1.86911,2.0186,8.65844
2.26609,1.76123,1.89949,8.30365
2.27612,1.68551,1.79744,7.76301
2.28615,1.49203,1.71918,7.34208
2.29617,1.43098,1.67444,6.78813
2.3062,1.44923,1.54036,6.28235
2.31623,1.42454,1.25126,5.38872
2.32625,1.32099,0.997778,4.70847
2.33628,1.86403,0.105195,4.60687
2.34631,1.32204,0.421527,4.75097
