time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-6.79845,2.3906,5.28622
0.0100093,-6.79845,2.3906,5.28622
0.0200186,-7.38114,2.42905,4.85212
0.030028,-7.38114,2.42905,4.85212
0.0400373,-7.52404,2.33194,4.91976
0.0500466,-8.05525,2.42038,5.11519
0.0600559,-8.25187,2.23722,5.5439
0.0700652,-8.04463,1.64795,5.95345
0.0800746,-7.91908,1.02711,6.4272
0.0900839,-7.95589,1.05988,6.68757
0.100093,-7.94048,1.21341,6.65989
0.110103,-8.09176,0.762549,6.45279
0.120112,-8.26459,0.884952,6.94465
0.130121,-8.41348,1.33087,6.83436
0.14013,-8.38625,1.32878,6.6551
0.15014,-8.20773,1.36469,6.73964
0.160149,-7.90502,1.25411,6.60213
0.170158,-7.64824,1.2348,6.72094
0.180168,-7.28028,1.2577,6.61395
0.190177,-7.03667,1.32773,6.85591
0.200186,-6.91711,1.61548,7.38667
0.210196,-6.62532,1.84098,7.35286
0.220205,-6.20185,1.83395,7.0874
0.230214,-6.02827,2.00663,6.84873
0.240224,-6.07286,2.39718,6.83287
0.250233,-6.22818,2.75646,6.73201
0.260242,-6.39473,3.03808,6.60572
0.270252,-6.45833,3.24353,6.51818
0.280261,-6.49529,3.32284,6.45698
0.29027,-6.37393,3.10227,6.62951
0.30028,-6.27323,2.94336,6.79501
0.310289,-6.00792,2.79312,6.80563
0.320298,-5.62021,2.62239,6.86788
0.330308,-5.29939,2.55655,6.76822
0.340317,-5.10621,2.53215,6.81596
0.350326,-5.04905,2.45599,7.04984
0.360336,-4.95597,2.93513,7.17987
0.370345,-4.95597,2.93513,7.17987
0.380354,-5.03064,3.34109,7.17015
0.390363,-5.14676,3.81888,7.05433
0.400373,-5.24911,4.0586,6.9617
0.410382,-5.23325,4.03496,6.95781
0.420391,-5.19509,4.0387,7.14486
0.430401,-5.19419,4.12294,7.37994
0.44041,-4.94086,3.76367,7.85908
0.450419,-4.94086,3.76367,7.85908
0.460429,-4.58308,3.52709,8.39388
0.470438,-4.58308,3.52709,8.39388
0.480447,-4.78988,2.99453,8.49862
0.490457,-4.78988,2.99453,8.49862
0.500466,-5.70326,2.5754,8.02637
0.510475,-5.70326,2.5754,8.02637
0.520485,-5.3787,2.8422,7.82107
0.530494,-5.42104,3.08686,6.8598
0.540503,-5.42104,3.08686,6.8598
0.550513,-5.42329,3.1925,6.52312
0.560522,-5.40967,3.1506,6.29507
0.570531,-5.27036,2.98196,6.52641
0.580541,-5.18776,2.82604,6.96155
0.59055,-5.17983,2.77352,7.3569
0.600559,-5.09394,2.68254,7.67502
0.610569,-5.07852,2.74838,7.97714
0.620578,-4.96256,2.56358,7.91773
0.630587,-4.6962,2.40811,8.00497
0.640596,-4.50153,2.42112,8.06797
0.650606,-4.45379,2.49684,8.46286
0.660615,-4.67855,2.31354,8.4862
0.670624,-4.69575,2.21388,8.51553
0.680634,-4.90076,2.20595,8.70243
0.690643,-5.22592,2.07965,8.7364
0.700652,-5.14796,1.91969,8.50341
0.710662,-5.03678,2.021,8.54591
0.720671,-5.07089,2.03177,8.64527
0.73068,-4.85362,1.88123,8.45463
0.74069,-4.71027,1.78203,8.31981
0.750699,-4.73481,1.85639,8.29856
0.760708,-4.56662,1.88498,8.3231
0.770718,-4.36865,1.99331,8.20354
0.780727,-4.1608,2.0204,8.08817
0.790736,-4.10738,2.00319,8.00303
0.800746,-4.18729,2.09252,7.87898
0.810755,-4.43718,2.41379,7.92611
0.820764,-4.81935,2.77172,7.97669
0.830774,-4.86739,2.81811,7.78291
0.840783,-4.8008,2.82125,7.59631
0.850792,-4.93128,2.80674,7.63582
0.860802,-5.11698,2.79851,7.71318
0.870811,-5.16442,2.62194,7.88601
0.88082,-4.9048,2.3475,8.16269
0.890829,-4.44302,2.13307,8.37787
0.900839,-3.95909,1.91939,8.53603
0.910848,-3.74391,1.76227,8.66786
0.920857,-3.73823,1.74043,8.83187
0.930867,-3.92482,1.87675,8.86299
0.940876,-4.42102,2.21657,9.03792
0.950885,-4.42102,2.21657,9.03792
0.960895,-4.56347,2.34526,9.16945
0.970904,-4.48896,2.41469,9.30083
0.980913,-4.30969,2.5359,9.41754
0.990923,-4.11711,2.65605,9.57032
1.00093,-3.853,2.75646,9.8889
1.01094,-3.853,2.75646,9.8889
1.02095,-3.82517,2.76813,10.0332
1.03096,-3.93305,2.85612,10.1756
1.04097,-4.01191,2.94425,10.1678
1.05098,-4.08194,2.89936,10.103
1.06099,-4.21317,2.90804,9.99619
1.071,-4.30834,2.97044,9.88516
1.08101,-4.38466,2.93393,9.73926
1.09102,-4.30385,2.87198,9.6019
1.10103,-4.04438,2.76469,9.41904
1.11103,-3.77848,2.6583,9.24067
1.12104,-3.57258,2.5956,9.13847
1.13105,-3.34857,2.42367,8.87975
1.14106,-3.34857,2.42367,8.87975
1.15107,-3.30772,2.41783,8.6924
1.16108,-3.30772,2.41783,8.6924
1.17109,-3.21585,2.4087,8.56731
1.1811,-3.21585,2.4087,8.56731
1.19111,-3.05918,2.3707,8.48546
1.20112,-2.90355,2.30231,8.40166
1.21113,-2.90355,2.30231,8.40166
1.22114,-2.86225,2.28765,8.44954
1.23115,-2.92914,2.30171,8.4244
1.24116,-3.0098,2.31653,8.45553
1.25116,-3.10332,2.34481,8.48112
1.26117,-3.16183,2.37189,8.5103
1.27118,-3.22886,2.40242,8.52646
1.28119,-3.29021,2.47664,8.5703
1.2912,-3.32059,2.52856,8.64721
1.30121,-3.32059,2.52856,8.64721
1.31122,-3.22991,2.48577,8.6532
1.32123,-3.01054,2.51525,8.82139
1.33124,-2.87617,2.74,9.24606
1.34125,-2.87617,2.74,9.24606
1.35126,-3.72745,3.03,8.92524
1.36127,-3.52081,2.81557,8.85057
1.37128,-4.3269,2.8211,8.36814
1.38129,-4.3269,2.8211,8.36814
1.3913,-4.6772,3.88038,8.29272
1.4013,-4.29308,4.19911,8.30155
1.41131,-3.5235,3.34468,7.75463
1.42132,-2.9685,2.52497,7.38293
1.43133,-3.29126,2.66473,7.16057
1.44134,-3.38134,2.93887,6.87028
1.45135,-2.89772,2.86061,6.43962
1.46136,-2.10449,2.72833,6.09591
1.47137,-2.10449,2.72833,6.09591
1.48138,-1.80761,2.71965,6.28774
1.49139,-1.2969,2.54038,7.1682
1.5014,-1.0075,2.36666,7.63552
1.51141,-0.77856,1.89859,7.59721
1.52142,-0.575354,1.28493,7.60499
1.53143,-0.809685,1.91296,9.40438
1.54144,-0.809685,1.91296,9.40438
1.55144,-0.690724,1.4853,8.9426
1.56145,-0.999724,1.87106,10.2226
1.57146,-1.38923,1.07604,11.8092
1.58147,-1.38923,1.07604,11.8092
1.59148,-0.58104,0.762849,12.4826
1.60149,-0.236426,1.06571,11.9898
1.6115,-0.200214,1.48919,11.18
